major_name,major_description,university_name,country,university_score,major_name_vi,major_description_vi
IBM Applied AI," Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Applied Machine Learning, Algorithms, Cloud API, Machine Learning Software, Natural Language Processing, Human Computer Interaction, Computer Programming, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Critical Thinking, Cloud-Based Integration, Software As A Service, Data Science",ibm,Unknown,62.39938193343899,AI ứng dụng của IBM,"Học máy, Học sâu, Thuật toán học máy, Mạng thần kinh nhân tạo, Lập trình Python, Điện toán đám mây, Thị giác máy tính, Học tập của con người, Đám mây của IBM, Học máy ứng dụng, Thuật toán, API đám mây, Phần mềm học máy, Xử lý ngôn ngữ tự nhiên, Tương tác máy tính của con người, Lập trình máy tính, Ứng dụng đám mây, Công cụ lập trình máy tính, Phát triển ứng dụng, Trực quan hóa (Đồ họa máy tính), Phân tích dữ liệu, Tư duy phản biện, Tích hợp dựa trên đám mây, Phần mềm dưới dạng A Dịch vụ, Khoa học dữ liệu"
IBM Full Stack Software Developer," Cloud Computing, Python Programming, Cloud Applications, Computer Programming, IBM Cloud, Application Development, Cloud Infrastructure, DevOps, Web Development, Cloud Management, Cloud Platforms, Javascript, Software Architecture, Cloud API, Cloud Storage, Cloud-Based Integration, Full-Stack Web Development, Software Engineering, Continuous Delivery, Continuous Integration, Docker (Software), Software As A Service, Microarchitecture, Django (Web Framework), Database Application, Databases, Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",ibm,Unknown,62.39938193343899,Nhà phát triển phần mềm Full Stack của IBM,"Điện toán đám mây, Lập trình Python, Ứng dụng đám mây, Lập trình máy tính, Đám mây IBM, Phát triển ứng dụng, Cơ sở hạ tầng đám mây, DevOps, Phát triển web, Quản lý đám mây, Nền tảng đám mây, Javascript, Kiến trúc phần mềm, API đám mây, Lưu trữ đám mây, Tích hợp dựa trên đám mây, Phát triển web đầy đủ, Kỹ thuật phần mềm, Phân phối liên tục, Tích hợp liên tục, Docker (Phần mềm), Phần mềm dưới dạng dịch vụ, Kiến trúc vi mô, Django (Khung Web), Ứng dụng cơ sở dữ liệu, Cơ sở dữ liệu, Kubernetes, SQL, Công cụ kỹ thuật phần mềm, Quản lý dữ liệu, NoSQL, Cộng tác, Khoa học máy tính, Phân tích dữ liệu, Phát triển web front-end, Lãnh đạo và quản lý, Sáp nhập & mua lại, Phản ứng (khung web)"
Introduction to Data Science," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Deep Learning, IBM Cloud, Regression, Writing",ibm,Unknown,62.39938193343899,Giới thiệu về Khoa học dữ liệu,"Khoa học dữ liệu, Lập trình Python, Phân tích dữ liệu, Quản lý dữ liệu, Lập trình R, Lập trình máy tính, Khai thác dữ liệu, Cấu trúc dữ liệu, Quản trị cơ sở dữ liệu, Ứng dụng cơ sở dữ liệu, Lý thuyết cơ sở dữ liệu, Cơ sở dữ liệu, SQL, Mô hình dữ liệu, Học máy, Học máy thống kê, Dữ liệu lớn, Điện toán đám mây, Học sâu, Đám mây IBM, Hồi quy, Viết"
Data Science Fundamentals with Python and SQL," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Plot (Graphics), R Programming, Data Management, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",ibm,Unknown,62.39938193343899,Nguyên tắc cơ bản về khoa học dữ liệu với Python và SQL,"Lập trình Python, Phân tích dữ liệu, Thống kê chung, Xác suất & Thống kê, Thống kê mô tả cơ bản, Phân tích thống kê, Kiểm tra thống kê, Lý thuyết & phân tích toán học, Lập trình thống kê, Lập trình máy tính, Trực quan hóa dữ liệu, Khoa học dữ liệu, Âm mưu (Đồ họa), Lập trình R, Quản lý dữ liệu, Cấu trúc dữ liệu, Quản trị cơ sở dữ liệu, Ứng dụng cơ sở dữ liệu, Lý thuyết cơ sở dữ liệu, Cơ sở dữ liệu, SQL, Điện toán đám mây, IBM Đám mây"
IBM Data Engineering," Data Management, Databases, Database Administration, Extract, Transform, Load, Python Programming, Big Data, SQL, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Leadership and Management, Kubernetes, PostgreSQL, Devops Tools, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",ibm,Unknown,62.39938193343899,Kỹ thuật dữ liệu IBM,"Quản lý dữ liệu, Cơ sở dữ liệu, Quản trị cơ sở dữ liệu, Trích xuất, Chuyển đổi, Tải, Lập trình Python, Dữ liệu lớn, SQL, Apache, Thiết kế cơ sở dữ liệu, Kiến trúc điện toán phân tán, Kiến trúc dữ liệu, Ứng dụng cơ sở dữ liệu, NoSQL, Cấu trúc dữ liệu, Mô hình dữ liệu, Kho dữ liệu, Điện toán đám mây, Lý thuyết cơ sở dữ liệu, Kỹ thuật dữ liệu, Trực quan hóa dữ liệu, Lập trình máy tính, Đám mây IBM, Khai thác dữ liệu, Học máy, Ứng dụng đám mây, Phân tích dữ liệu, Lãnh đạo và quản lý, Kubernetes, PostgreSQL, Công cụ Devops, Kinh doanh thông minh, Phần mềm trực quan hóa dữ liệu, Linux, An ninh mạng, Lập trình thống kê, Khoa học dữ liệu"
Key Technologies for Business," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Data Science, Critical Thinking, Big Data, Data Analysis, Data Mining, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Regression, Writing",ibm,Unknown,62.39938193343899,Công nghệ then chốt cho doanh nghiệp,"Thuật toán, Học máy ứng dụng, Mạng thần kinh nhân tạo, Thị giác máy tính, Học sâu, Học con người, Học máy, Thuật toán học máy, Phần mềm học máy, Điện toán đám mây, Khoa học dữ liệu, Tư duy phản biện, Dữ liệu lớn, Phân tích dữ liệu, Khai thác dữ liệu, Ứng dụng đám mây, Cơ sở hạ tầng đám mây, Nền tảng đám mây, Lưu trữ đám mây, DevOps, Đám mây IBM, Hồi quy, Viết"
IBM & Darden Digital Strategy," Business Analysis, Business Transformation, Strategy, Cloud Computing, Data Analysis, Strategy and Operations, Applied Machine Learning, Entrepreneurship, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Visualization, Research and Design, Critical Thinking, Business Design, Business Development, Customer Analysis, Product Strategy, Market Analysis, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",university of virginia darden school foundation,Unknown,62.39938193343899,Chiến lược kỹ thuật số của IBM & Darden,"Phân tích kinh doanh, Chuyển đổi kinh doanh, Chiến lược, Điện toán đám mây, Phân tích dữ liệu, Chiến lược và vận hành, Học máy ứng dụng, Tinh thần kinh doanh, Lãnh đạo và quản lý, Thuật toán, Mạng thần kinh nhân tạo, Thị giác máy tính, Học sâu, Học con người, Đổi mới, Học máy, Thuật toán học máy, Phần mềm học máy, Tiếp thị, Bán hàng, Trực quan hóa dữ liệu, Nghiên cứu và thiết kế, Tư duy phản biện, Thiết kế kinh doanh, Phát triển kinh doanh, Phân tích khách hàng, Chiến lược sản phẩm, Phân tích thị trường, Dữ liệu Quản lý, Khai thác dữ liệu, Cơ sở dữ liệu, Lập trình Python, SQL, Ứng dụng đám mây, Cơ sở hạ tầng đám mây, Nền tảng đám mây, Lưu trữ đám mây, Khoa học dữ liệu, DevOps, Đám mây IBM, NoSQL, Lập trình R, Microsoft Excel"
Deep Learning," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",deeplearning.ai,Unknown,62.39938193343899,Học sâu,"Học máy, Học sâu, Mạng thần kinh nhân tạo, Thuật toán học máy, Học máy ứng dụng, Lập trình Python, Phần mềm học máy, Mô hình mạng, Thuật toán, Lập trình máy tính, Thị giác máy tính, Kiến trúc mạng, Xử lý ngôn ngữ tự nhiên, Tensorflow, Học tập của con người, Phân tích dữ liệu, Mô hình dữ liệu, Phân tích dữ liệu khám phá, Phát triển tổ chức, Phân tích quy trình, Chiến lược, Logic tính toán, Toán học, Lý thuyết & phân tích toán học, Đại số tuyến tính, hồi quy, giải tích"
Data Engineering Foundations," Data Management, Python Programming, Data Structures, Databases, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",ibm,Unknown,62.39938193343899,Nền tảng kỹ thuật dữ liệu,"Quản lý dữ liệu, Lập trình Python, Cấu trúc dữ liệu, Cơ sở dữ liệu, Kỹ thuật dữ liệu, Ứng dụng cơ sở dữ liệu, SQL, Quản trị cơ sở dữ liệu, Thiết kế cơ sở dữ liệu, Trích xuất, Chuyển đổi, Tải, Lập trình máy tính, Kiến trúc dữ liệu, Lý thuyết cơ sở dữ liệu, Khai thác dữ liệu, Mô hình dữ liệu, Phân tích dữ liệu, Lãnh đạo và quản lý, Kho dữ liệu, PostgreSQL, Dữ liệu lớn, Đám mây IBM, An ninh mạng, NoSQL, Điện toán đám mây, Khoa học dữ liệu"
Applied Data Science," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",ibm,Unknown,62.39938193343899,Khoa học dữ liệu ứng dụng,"Lập trình Python, Phân tích dữ liệu, Học máy, Thuật toán, Lập trình máy tính, Khoa học dữ liệu, Trực quan hóa dữ liệu, Phân tích dữ liệu khám phá, Thống kê chung, Thuật toán học máy, Vẽ đồ thị (Đồ họa), Xác suất & Thống kê, Hồi quy, Lập trình thống kê"
IBM Back-End Development," Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Cloud Computing, Security Engineering, Programming Principles, Web Development, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Data Management, Database Application, Databases, Docker (Software), Linux, SQL, Software-Defined Networking, Technical Product Management, Collaboration, Django (Web Framework), Leadership and Management, Data Analysis, Mergers & Acquisitions",ibm,Unknown,62.39938193343899,Phát triển Back-End của IBM,"Phát triển ứng dụng, Kỹ thuật phần mềm, Lập trình Python, Lập trình máy tính, Kiến trúc phần mềm, DevOps, Công cụ kỹ thuật phần mềm, Ứng dụng đám mây, Điện toán đám mây, Kỹ thuật bảo mật, Nguyên tắc lập trình, Phát triển web, Cơ sở hạ tầng đám mây, Tích hợp dựa trên đám mây, Vi kiến ​​trúc, Phát triển phần mềm linh hoạt, Truyền thông, Đám mây IBM, Kubernetes, Bảo mật phần mềm, Quản lý dữ liệu, Ứng dụng cơ sở dữ liệu, Cơ sở dữ liệu, Docker (Phần mềm), Linux, SQL, Mạng được xác định bằng phần mềm, Quản lý sản phẩm kỹ thuật, Cộng tác, Django (Khung Web), Lãnh đạo và Quản lý, Phân tích dữ liệu, Sáp nhập & Mua lại"
IBM AI Foundations for Business," Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Business Process Management, Computer Vision, Data Architecture, Deep Learning, Human Learning, Machine Learning Software, Data Science, Strategy and Operations, Critical Thinking, Business Analysis, Business Transformation, Strategy, Big Data, Data Mining, Innovation, Regression, Writing",ibm,Unknown,62.39938193343899,Nền tảng AI của IBM dành cho doanh nghiệp,"Học máy, Phân tích dữ liệu, Học máy ứng dụng, Quản lý dữ liệu, Lãnh đạo và quản lý, Thuật toán học máy, Thuật toán, Mạng thần kinh nhân tạo, Quản lý quy trình kinh doanh, Thị giác máy tính, Kiến trúc dữ liệu, Học sâu, Học con người, Phần mềm học máy, Khoa học dữ liệu, Chiến lược và hoạt động, Tư duy phản biện, Phân tích kinh doanh, Chuyển đổi kinh doanh, Chiến lược, Dữ liệu lớn, Khai thác dữ liệu, Đổi mới, Hồi quy, Viết"
IBM Data Analytics with Excel and R," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Data Analysis Software, Data Structures, Statistical Analysis, Microsoft Excel, SQL, Basic Descriptive Statistics, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Spreadsheet Software, Visualization (Computer Graphics), Programming Principles, Regression, Database Administration, Database Design, Database Theory, Computer Programming Tools, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Probability & Statistics, System Programming, Business Analysis, Python Programming, Data Science, NoSQL",ibm,Unknown,62.39938193343899,Phân tích dữ liệu của IBM với Excel và R,"Phân tích dữ liệu, Lập trình R, Lập trình máy tính, Trực quan hóa dữ liệu, Quản lý dữ liệu, Lập trình thống kê, Cơ sở dữ liệu, Sơ đồ (Đồ họa), Phân tích dữ liệu thăm dò, Trực quan hóa thống kê, Phần mềm phân tích dữ liệu, Cấu trúc dữ liệu, Phân tích thống kê, Microsoft Excel, SQL, Thống kê mô tả cơ bản, Thống kê tổng hợp, Trực quan hóa dữ liệu tương tác, Ứng dụng cơ sở dữ liệu, Trích xuất, Chuyển đổi, Tải, Phần mềm bảng tính, Trực quan hóa (Đồ họa máy tính), Lập trình Nguyên tắc, hồi quy, Quản trị cơ sở dữ liệu, Thiết kế cơ sở dữ liệu, Lý thuyết cơ sở dữ liệu, Công cụ lập trình máy tính, Khai thác dữ liệu, Phần mềm trực quan hóa dữ liệu, Học máy thống kê, Thiết kế trực quan, Xác suất & Thống kê, Lập trình hệ thống, Phân tích kinh doanh, Lập trình Python, Khoa học dữ liệu, NoSQL"
Data Analysis and Visualization Foundations," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Databases, Python Programming, SQL, Statistical Visualization, Business Analysis, Data Management, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",ibm,Unknown,62.39938193343899,Nền tảng phân tích và trực quan hóa dữ liệu,"Microsoft Excel, Trực quan hóa dữ liệu, Phần mềm bảng tính, Phân tích dữ liệu, Vẽ đồ thị (Đồ họa), Cơ sở dữ liệu, Lập trình Python, SQL, Trực quan hóa thống kê, Phân tích kinh doanh, Quản lý dữ liệu, Khai thác dữ liệu, Khoa học dữ liệu, Trực quan hóa dữ liệu tương tác, NoSQL, Lập trình R, Phần mềm trực quan hóa dữ liệu"
Applied Software Engineering Fundamentals," Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",ibm,Unknown,62.39938193343899,Nguyên tắc cơ bản về kỹ thuật phần mềm ứng dụng,"Lập trình Python, Lập trình máy tính, Kỹ thuật phần mềm, Phát triển ứng dụng, Nguyên tắc lập trình, Kiến trúc phần mềm, Công cụ kỹ thuật phần mềm, Phát triển phần mềm linh hoạt, Giao tiếp, Mạng được xác định bằng phần mềm, Quản lý sản phẩm kỹ thuật, Hợp tác, Lãnh đạo và quản lý, Linux, Phân tích dữ liệu, Sáp nhập & Mua lại"
Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",vanderbilt university,USA,48.44,Kỹ thuật nhanh chóng,"Sáng tạo, Phân tích dữ liệu, Giải quyết vấn đề, Viết"
Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",vanderbilt university,USA,47.8,Kỹ thuật nhanh chóng,"Sáng tạo, Phân tích dữ liệu, Giải quyết vấn đề, Viết"
Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",vanderbilt university,USA,53.69,Kỹ thuật nhanh chóng,"Sáng tạo, Phân tích dữ liệu, Giải quyết vấn đề, Viết"
Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",vanderbilt university,USA,53.05,Kỹ thuật nhanh chóng,"Sáng tạo, Phân tích dữ liệu, Giải quyết vấn đề, Viết"
AI Foundations for Everyone," Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Critical Thinking, Cloud API, Computer Programming, Data Science",ibm,Unknown,62.39938193343899,Nền tảng AI cho mọi người,"Học tập của con người, Học máy, Mạng thần kinh nhân tạo, Học sâu, Thuật toán học máy, Tương tác máy tính của con người, Xử lý ngôn ngữ tự nhiên, Thuật toán, Học máy ứng dụng, Điện toán đám mây, Thị giác máy tính, Đám mây IBM, Phần mềm học máy, Tư duy phản biện, API đám mây, Lập trình máy tính, Khoa học dữ liệu"
Generative AI with Large Language Models," Machine Learning, Natural Language Processing, Python Programming",deeplearning.ai,Unknown,62.39938193343899,AI sáng tạo với các mô hình ngôn ngữ lớn,"Học máy, Xử lý ngôn ngữ tự nhiên, Lập trình Python"
