major_name,major_description,university_name,country,university_score
Applied Software Engineering Fundamentals," Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",ibm,Unknown,62.39938193343899
Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",vanderbilt university,USA,48.44
Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",vanderbilt university,USA,47.8
Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",vanderbilt university,USA,53.69
Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",vanderbilt university,USA,53.05
AI Foundations for Everyone," Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Critical Thinking, Cloud API, Computer Programming, Data Science",ibm,Unknown,62.39938193343899
Generative AI with Large Language Models," Machine Learning, Natural Language Processing, Python Programming",deeplearning.ai,Unknown,62.39938193343899
Cloud Application Development Foundations," Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Cloud Storage, Continuous Integration, Software As A Service, Continuous Delivery, NoSQL, Computer Science, Front-End Web Development, React (web framework)",ibm,Unknown,62.39938193343899
"DevOps, Cloud, and Agile Foundations"," DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management",ibm,Unknown,62.39938193343899
Google Advanced Data Analytics," Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",google,Unknown,62.39938193343899
IBM and ISC2 Cybersecurity Specialist," Computer Security Incident Management, Leadership and Management, Cloud Computing, System Security, Computer Networking, Risk Management, Cloud Storage, Operating Systems, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Operations Management, Software Engineering",multiple educators,Unknown,62.39938193343899
IBM IT Support," Customer Success, Cloud Computing, Computer Networking, Strategy and Operations, Operating Systems, Cloud Storage, Cloud Applications, Leadership and Management, System Security, Customer Support, Communication, Computer Programming, Cyberattacks, Cloud Infrastructure, Cloud Platforms, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering",ibm,Unknown,62.39938193343899
Business Intelligence (BI) Analyst," Data Management, Databases, SQL, Data Visualization, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Data Architecture, Database Theory, Spreadsheet Software, Data Model, Data Warehousing, Python Programming, Computer Programming, Data Analysis, NoSQL, PostgreSQL, Professional Development, Plot (Graphics), Business Analysis, Statistical Visualization, Data Mining, Data Science, Data Visualization Software, R Programming, Business Intelligence, Forecasting, Interactive Data Visualization, Statistical Analysis",ibm,Unknown,62.39938193343899
Meta Front-End Developer," HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing",meta,Unknown,62.39938193343899
Generative AI Fundamentals," Machine Learning, Natural Language Processing",ibm,Unknown,62.39938193343899
Information Technology (IT) and Cloud Fundamentals," Cloud Computing, Computer Networking, Operating Systems, Cloud Storage, System Security, Cloud Applications, Cyberattacks, Cloud Infrastructure, Cloud Platforms, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering",ibm,Unknown,62.39938193343899
Microsoft Power BI Data Analyst," Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL",microsoft,Unknown,62.39938193343899
Generative AI for Everyone," Strategy, Writing",deeplearning.ai,Unknown,62.39938193343899
IBM AI Engineering," Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Statistical Machine Learning, Computer Vision, Apache, Big Data, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Natural Language Processing, Data Science",ibm,Unknown,62.39938193343899
IBM IT Project Manager," Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Scrum (Software Development), Software-Defined Networking, Technical Product Management, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management",ibm,Unknown,62.39938193343899
IBM Data Warehouse Engineer," Data Management, Database Administration, Databases, SQL, Database Application, Extract, Transform, Load, Data Warehousing, Data Structures, Database Design, Data Engineering, Computer Programming, Data Analysis, Data Architecture, Database Theory, Apache, Python Programming, Leadership and Management, Professional Development, Big Data, Data Model, Distributed Computing Architecture, Business Analysis, PostgreSQL, Devops Tools, Cloud Computing, Linux, IBM Cloud, Network Security, NoSQL, Business Intelligence, Data Science",ibm,Unknown,62.39938193343899
Generative AI for Software Developers," Natural Language Processing, Software Engineering",ibm,Unknown,62.39938193343899
Generative AI for Data Scientists," Data Analysis, Data Science, Natural Language Processing",ibm,Unknown,62.39938193343899
Foundations of Cybersecurity," Linux, Computer Programming, Leadership and Management, SQL",google,Unknown,62.39938193343899
Foundations of Project Management," Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning",google,Unknown,62.39938193343899
Supervised Machine Learning: Regression and Classification," Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",deeplearning.ai,Unknown,62.39938193343899
"BI Foundations with SQL, ETL and Data Warehousing"," Data Management, Extract, Transform, Load, Data Warehousing, Database Administration, Apache, Computer Programming, Python Programming, Data Analysis, Data Structures, Databases, Big Data, Database Application, Distributed Computing Architecture, Cloud Computing, Database Theory, Devops Tools, Leadership and Management, Linux, SQL, Business Intelligence, IBM Cloud",ibm,Unknown,62.39938193343899
"Foundations: Data, Data, Everywhere"," Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel",google,Unknown,62.39938193343899
Mathematics for Machine Learning and Data Science," Mathematics, Algebra, Linear Algebra, Machine Learning, Machine Learning Algorithms, Calculus, Differential Equations, Regression, Artificial Neural Networks, Mathematical Theory & Analysis, Python Programming, Algorithms, Critical Thinking, Dimensionality Reduction, General Statistics, Probability & Statistics, Statistical Analysis",deeplearning.ai,Unknown,62.39938193343899
IBM Full-Stack JavaScript Developer," Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Continuous Delivery, Docker (Software), Front-End Web Development, Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)",ibm,Unknown,62.39938193343899
Business Foundations," Accounting, Finance, General Accounting, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Digital Marketing, Estimation, Mathematical Theory & Analysis, Change Management, Organizational Development, People Management, Talent Management, Planning, Operations Management",university of pennsylvania,USA,73.64
Business Foundations," Accounting, Finance, General Accounting, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Digital Marketing, Estimation, Mathematical Theory & Analysis, Change Management, Organizational Development, People Management, Talent Management, Planning, Operations Management",university of pennsylvania,USA,77.24
Business Foundations," Accounting, Finance, General Accounting, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Digital Marketing, Estimation, Mathematical Theory & Analysis, Change Management, Organizational Development, People Management, Talent Management, Planning, Operations Management",university of pennsylvania,USA,79.3
Business Foundations," Accounting, Finance, General Accounting, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Digital Marketing, Estimation, Mathematical Theory & Analysis, Change Management, Organizational Development, People Management, Talent Management, Planning, Operations Management",university of pennsylvania,USA,77.6
Google IT Automation with Python," Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming",google,Unknown,62.39938193343899
AI For Everyone," Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management",deeplearning.ai,Unknown,62.39938193343899
IBM IT Scrum Master," DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Scrum (Software Development), Software-Defined Networking, Technical Product Management, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming",ibm,Unknown,62.39938193343899
Python for Everybody," Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Data Analysis, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Architecture, Data Management, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Web Development, Web Development Tools, Computer Networking, Extract, Transform, Load, SQL, HTML and CSS",university of michigan,Unknown,62.39938193343899
IBM Project Manager," Software Engineering, Agile Software Development, Scrum (Software Development), Business Analysis, Communication, Leadership and Management, Project Management, Risk Management",ibm,Unknown,62.39938193343899
IBM Applied DevOps Engineering," DevOps, Software Engineering, Cloud Computing, Continuous Delivery, Continuous Integration, Application Development, Cloud Applications, Software Architecture, Security Engineering, Computer Programming, Kubernetes, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Software Testing, Agile Software Development, IBM Cloud, Docker (Software), Scrum (Software Development), Software Security, Leadership and Management",ibm,Unknown,62.39938193343899
AI in Healthcare," Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",stanford university,USA,89.5
AI in Healthcare," Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",stanford university,USA,93.94
AI in Healthcare," Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",stanford university,USA,99.09
AI in Healthcare," Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",stanford university,USA,98.66
IBM Front-End Developer," Cloud Applications, Software Engineering, Computer Programming, Application Development, Cloud Computing, IBM Cloud, Programming Principles, Software Engineering Tools, Web Development, Agile Software Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Communication, DevOps, Software Architecture, Continuous Integration, Software As A Service, Cloud Storage, Continuous Delivery, Front-End Web Development, Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Javascript, NoSQL, Mergers & Acquisitions, Python Programming, React (web framework), Strategy, User Experience",ibm,Unknown,62.39938193343899
IBM Cybersecurity Analyst," Cryptography, Python Programming, Linux, Network Security, Security Strategy, Software Security, System Software, Computer Security Incident Management, Networking Hardware, Security Software, Cloud Computing, Cyberattacks, DevOps, Mobile Security, Computer Programming, Databases, Leadership and Management, Operating Systems, SQL, System Security",ibm,Unknown,62.39938193343899
IBM Back-end JavaScript Developer," Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Continuous Delivery, Docker (Software), Leadership and Management, Software-Defined Networking, Technical Product Management, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming",ibm,Unknown,62.39938193343899
Meta Social Media Marketing," Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Planning, Entrepreneurship",meta,Unknown,62.39938193343899
Meta React Native," React (web framework), Javascript, Mobile Development, Mobile Development Tools, Web Development, HTML and CSS, Front-End Web Development, Web Development Tools, Application Development, Computer Programming, User Experience, Web Design, Software Engineering Tools, SQL, Software Engineering, Agile Software Development, Collaboration, Data Management, Human Computer Interaction, Interactive Design, Linux, Product Design, Product Lifecycle, Project Management",meta,Unknown,62.39938193343899
Finance & Quantitative Modeling for Analysts," Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Cost Accounting, Data Model, Mathematics, Regression, Estimation, Management Accounting, Statistical Tests, Budget Management, Microsoft Excel, Spreadsheet Software, Leadership and Management, Entrepreneurship, Computer Programming",university of pennsylvania,USA,73.64
Finance & Quantitative Modeling for Analysts," Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Cost Accounting, Data Model, Mathematics, Regression, Estimation, Management Accounting, Statistical Tests, Budget Management, Microsoft Excel, Spreadsheet Software, Leadership and Management, Entrepreneurship, Computer Programming",university of pennsylvania,USA,77.24
Finance & Quantitative Modeling for Analysts," Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Cost Accounting, Data Model, Mathematics, Regression, Estimation, Management Accounting, Statistical Tests, Budget Management, Microsoft Excel, Spreadsheet Software, Leadership and Management, Entrepreneurship, Computer Programming",university of pennsylvania,USA,79.3
Finance & Quantitative Modeling for Analysts," Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Cost Accounting, Data Model, Mathematics, Regression, Estimation, Management Accounting, Statistical Tests, Budget Management, Microsoft Excel, Spreadsheet Software, Leadership and Management, Entrepreneurship, Computer Programming",university of pennsylvania,USA,77.6
Technical Support Fundamentals," Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware",google,Unknown,62.39938193343899
Natural Language Processing," Natural Language Processing, Machine Learning, Python Programming, Statistical Programming, Artificial Neural Networks, Deep Learning, Probability & Statistics, Statistical Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Human Learning, Linear Algebra",deeplearning.ai,Unknown,62.39938193343899
DeepLearning.AI TensorFlow Developer," Machine Learning, Tensorflow, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Applied Machine Learning, Human Learning, Computer Programming, Python Programming, Machine Learning Software, Natural Language Processing, Computer Vision, Forecasting, Data Visualization, Statistical Machine Learning, Statistical Analysis",deeplearning.ai,Unknown,62.39938193343899
Introduction to Finance and Accounting," Accounting, Finance, Financial Accounting, General Accounting, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounts Payable and Receivable, Cost Accounting, Account Management, Cash Management, Estimation, Decision Making, Investment Management, Taxes, Budget Management, Management Accounting, Problem Solving, Business Analysis, Mathematical Theory & Analysis, Mathematics, Entrepreneurship",university of pennsylvania,USA,73.64
Introduction to Finance and Accounting," Accounting, Finance, Financial Accounting, General Accounting, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounts Payable and Receivable, Cost Accounting, Account Management, Cash Management, Estimation, Decision Making, Investment Management, Taxes, Budget Management, Management Accounting, Problem Solving, Business Analysis, Mathematical Theory & Analysis, Mathematics, Entrepreneurship",university of pennsylvania,USA,77.24
